uniqueID,spectrumID,name,asteroid classes,slope,sampleID,pca_1,pca_2,pca_3,pca_4,pca_5,General Type,Type 1,subtype,metbull type,clan subtype,class subtype
MT-BEC-091-A-C3MT91A,C3MT91A,Allende,K-type__Xe-type,-0.1103,MT-BEC-091-A,-0.4782,-0.0125,0.0304,-0.0323,-0.0517,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-091-B-C1MT91B,C1MT91B,Allende,B-type,-0.0206,MT-BEC-091-B,-0.5393,0.0040,0.1633,0.0022,-0.0696,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-A-BKR1MT092A,BKR1MT092A,Allende,B-type,-0.1075,MT-BEC-092-A,-0.3698,-0.0746,-0.1864,0.0027,-0.0466,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-A-C1MT92A,C1MT92A,Allende,B-type,-0.1193,MT-BEC-092-A,-0.4401,-0.0057,-0.1031,-0.0406,-0.0285,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-A-C2MT92A,C2MT92A,Allende,B-type,-0.1181,MT-BEC-092-A,-0.4769,-0.0143,-0.0894,-0.0248,-0.0194,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-A-C3MT92A,C3MT92A,Allende,K-type__Xe-type,-0.1130,MT-BEC-092-A,-0.4446,0.0006,-0.0491,-0.0333,-0.0176,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-B-BKR1MT092B,BKR1MT092B,Allende,B-type,-0.1080,MT-BEC-092-B,-0.4224,-0.0296,-0.1843,-0.0214,-0.0738,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-B-C1MT92B,C1MT92B,Allende,B-type,-0.1123,MT-BEC-092-B,-0.5411,0.0370,-0.1070,-0.0628,-0.0529,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-B-C2MT92B,C2MT92B,Allende,B-type,-0.1237,MT-BEC-092-B,-0.4781,0.0038,-0.0967,-0.0547,-0.0421,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-B-C3MT92B,C3MT92B,Allende,B-type,-0.0929,MT-BEC-092-B,-0.4898,0.0179,-0.0962,-0.0181,-0.0298,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-C-BKR1MT092C,BKR1MT092C,Allende,Xk-type__Xc-type__Xe-type__C-type__Ch-type__Xn-type,0.1055,MT-BEC-092-C,-0.4229,-0.0436,-0.0818,-0.0644,-0.0093,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-C-C1MT92C,C1MT92C,Allende,K-type__Xe-type,0.0827,MT-BEC-092-C,-0.3823,-0.0678,-0.0651,-0.0106,-0.0211,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-C-C2MT92C,C2MT92C,Allende,K-type__Xe-type,0.0670,MT-BEC-092-C,-0.3421,-0.0617,-0.0679,0.0053,-0.0196,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-C-C3MT92C,C3MT92C,Allende,K-type__Xe-type,0.0955,MT-BEC-092-C,-0.2905,-0.0686,-0.0678,0.0266,-0.0409,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-D-BKR1MT092D,BKR1MT092D,Allende,B-type,-0.0272,MT-BEC-092-D,-0.4654,-0.0523,-0.1247,-0.0423,-0.0650,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-D-C1MT92D,C1MT92D,Allende,K-type__Xe-type,-0.0468,MT-BEC-092-D,-0.5234,-0.0126,-0.0397,-0.0498,-0.0184,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-D-C2MT92D,C2MT92D,Allende,K-type__Xe-type,-0.0640,MT-BEC-092-D,-0.4540,-0.0064,-0.0724,-0.0289,-0.0293,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-D-C3MT92D,C3MT92D,Allende,K-type__Xe-type,-0.0467,MT-BEC-092-D,-0.4706,0.0163,-0.0513,-0.0182,-0.0060,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-E-C1MT92E,C1MT92E,Allende,K-type__Xe-type,0.0625,MT-BEC-092-E,-0.3814,-0.0401,-0.0654,-0.0035,-0.0256,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-E-C2MT92E,C2MT92E,Allende,K-type__Xe-type,0.0412,MT-BEC-092-E,-0.3923,-0.0386,-0.0696,0.0225,-0.0072,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-BEC-092-E-C3MT92E,C3MT92E,Allende,K-type__Xe-type,0.0655,MT-BEC-092-E,-0.3601,-0.0469,-0.0620,0.0101,-0.0403,Rock,Carbonaceous Chondrite,CV3,L4,H-L-LL,OC
MT-CMP-001-C1MT01,C1MT01,Acapulco,Sr-type,0.1696,MT-CMP-001,0.1341,0.2653,0.1776,-0.3807,0.1527,Rock,Achondrite,Acapulcoite,Acapulcoite,ACA-LOD,ACA-LOD
MT-CMP-061-BKR1MT061,BKR1MT061,Y-980318,V-type,-0.0978,MT-CMP-061,-0.1065,1.3637,0.1411,-0.1011,-0.0041,Rock,Achondrite,Eucrite,Eucrite-cm,HED,HED
MT-CMP-061-C1MT61,C1MT61,Y-980318,V-type,-0.0961,MT-CMP-061,-0.1923,1.3876,0.1360,-0.0951,0.0222,Rock,Achondrite,Eucrite,Eucrite-cm,HED,HED
MT-CMP-062-BKR1MT062,BKR1MT062,Y-980318,K-type__Xe-type,0.0687,MT-CMP-062,-0.1168,-0.1530,-0.0254,-0.1743,0.0864,Mineral,Silicate (Tecto),Plagioclase Feldspar,Eucrite-cm,HED,HED
MT-CMP-062-C1MT62,C1MT62,Y-980318,K-type__Xe-type,0.0463,MT-CMP-062,-0.1729,-0.1137,-0.0142,-0.1293,0.1050,Mineral,Silicate (Tecto),Plagioclase Feldspar,Eucrite-cm,HED,HED
MT-CMP-063-BKR1MT063,BKR1MT063,Y-980318,V-type,-0.2323,MT-CMP-063,-0.1983,2.5373,0.1496,-0.2477,-0.1259,Mineral,Silicate (Ino),Pyroxene Fe-rich,Eucrite-cm,HED,HED
MT-CMP-063-C1MT63,C1MT63,Y-980318,V-type,-0.2287,MT-CMP-063,-0.2764,2.5456,0.1553,-0.2425,-0.0846,Mineral,Silicate (Ino),Pyroxene Fe-rich,Eucrite-cm,HED,HED
MT-CMP-064-BKR1MT064,BKR1MT064,Y-980318,V-type,-0.2364,MT-CMP-064,-0.2431,2.4931,0.2086,-0.2061,-0.1323,Mineral,Silicate (Ino),Pyroxene Ca-rich,Eucrite-cm,HED,HED
MT-CMP-064-C1MT64,C1MT64,Y-980318,V-type,-0.2338,MT-CMP-064,-0.2874,2.5033,0.2151,-0.2074,-0.1031,Mineral,Silicate (Ino),Pyroxene Ca-rich,Eucrite-cm,HED,HED
MT-CMP-065-BKR1MT065,BKR1MT065,Y-980433,V-type,-0.1001,MT-CMP-065,0.0830,1.6500,0.0917,-0.0111,-0.0718,Rock,Achondrite,Eucrite,Eucrite,HED,HED
MT-CMP-065-C1MT65,C1MT65,Y-980433,V-type,-0.0994,MT-CMP-065,0.0394,1.6655,0.0915,-0.0118,-0.0570,Rock,Achondrite,Eucrite,Eucrite,HED,HED
MT-CMP-066-BKR1MT066,BKR1MT066,Y-980433,K-type__Xe-type,0.0637,MT-CMP-066,-0.0970,-0.1259,-0.0097,-0.1359,0.1004,Mineral,Silicate (Tecto),Plagioclase Feldspar,Eucrite,HED,HED
MT-CMP-066-C1MT66,C1MT66,Y-980433,K-type__Xe-type,0.0478,MT-CMP-066,-0.1582,-0.0750,-0.0157,-0.1159,0.1107,Mineral,Silicate (Tecto),Plagioclase Feldspar,Eucrite,HED,HED
MT-CMP-066-C2MT66,C2MT66,Y-980433,K-type__Xe-type,0.0454,MT-CMP-066,-0.1411,-0.0635,-0.0240,-0.1163,0.1130,Mineral,Silicate (Tecto),Plagioclase Feldspar,Eucrite,HED,HED
MT-CMP-067-BKR1MT067,BKR1MT067,Y-980433,V-type,-0.1581,MT-CMP-067,0.0953,2.4909,0.0828,-0.0818,-0.1655,Mineral,Silicate (Ino),Pyroxene,Eucrite,HED,HED
MT-CMP-067-C1MT67,C1MT67,Y-980433,V-type,-0.1572,MT-CMP-067,0.0618,2.5035,0.0864,-0.0852,-0.1488,Mineral,Silicate (Ino),Pyroxene,Eucrite,HED,HED
MT-D2M-200-A-BKR1MT200A,BKR1MT200A,CRE 01400,V-type,0.0447,MT-D2M-200-A,0.4883,1.0873,-0.1542,-0.1883,0.2113,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-200-A-C1MT200A,C1MT200A,CRE 01400,V-type,0.0436,MT-D2M-200-A,0.3633,1.1231,-0.1577,-0.1782,0.2406,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-201-A-BKR1MT201A,BKR1MT201A,EET 87509,V-type,0.0360,MT-D2M-201-A,0.4569,0.7966,-0.0444,0.0638,-0.0448,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-201-A-C1MT201A,C1MT201A,EET 87509,V-type,0.0361,MT-D2M-201-A,0.4490,0.8085,-0.0448,0.0617,-0.0408,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-204-A-BKR1MT204A,BKR1MT204A,EET 99408,V-type,0.0394,MT-D2M-204-A,0.4686,0.8142,-0.0353,0.0763,-0.0412,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-204-A-C1MT204A,C1MT204A,EET 99408,V-type,0.0395,MT-D2M-204-A,0.4622,0.8260,-0.0353,0.0741,-0.0378,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-205-A-BKR1MT205A,BKR1MT205A,GRO 95574,V-type,-0.0038,MT-D2M-205-A,-0.0411,0.7607,-0.1127,0.0432,0.0068,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-205-A-C1MT205A,C1MT205A,GRO 95574,V-type,-0.0032,MT-D2M-205-A,-0.0529,0.7731,-0.1113,0.0404,0.0160,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-206-A-BKR1MT206A,BKR1MT206A,GRO 95602,V-type,0.0122,MT-D2M-206-A,-0.0234,0.6948,-0.1009,0.0368,0.0021,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-206-A-C1MT206A,C1MT206A,GRO 95602,V-type,0.0127,MT-D2M-206-A,-0.0331,0.7063,-0.0999,0.0338,0.0101,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-207-A-BKR1MT207A,BKR1MT207A,LAP 04838,V-type,0.2218,MT-D2M-207-A,0.4993,0.6226,0.0776,-0.0184,0.0360,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-207-A-C1MT207A,C1MT207A,LAP 04838,V-type,0.2180,MT-D2M-207-A,0.4188,0.6531,0.0705,-0.0113,0.0527,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-208-A-BKR1MT208A,BKR1MT208A,LEW 85313,V-type,0.0579,MT-D2M-208-A,0.3493,0.6827,0.0538,-0.0807,0.0893,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-208-A-C1MT208A,C1MT208A,LEW 85313,V-type,0.0569,MT-D2M-208-A,0.2885,0.7069,0.0484,-0.0760,0.1021,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-209-A-BKR1MT209A,BKR1MT209A,LEW 87004,V-type,0.1142,MT-D2M-209-A,0.2787,0.6310,0.0242,-0.0134,-0.0305,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
